卫生间	装修_毛	容积率_	绿化率_	物业费_	面积	地铁	学校	X	Y	建造年	房价
2	1	2.5	0.3	1.2	167	400.7742745	21.75682458	449541.6564	4424849.498	28	1430
2	2	3.5	0.31	7.98	200.6	450.4990289	106.1504256	453780.3107	4418728.613	32	2700
2	2	2.78	0.5	3.5	143	794.0370324	343.1066853	455517.4369	4418708.491	27	1350
1	2	3.8	0.35	17.9	107	221.607653	278.0309022	453220.8835	4418598.475	31	1080
1	2	4.2	0.35	4	144.3	413.7090583	299.4065141	454681.1012	4417361.466	24	610
2	2	3.35	0.35	3.9	145	478.3432848	113.1986476	454672.2398	4418051.918	22	1280
1	2	4.47	0.53	4	72	461.8283689	254.6749499	454752.4949	4417854.669	26	620
1	1	4.9	0.3	6.6	76.9	211.2555151	421.3219834	453730.288	4417250.594	24	499
2	2	1.98	0.4	7	127.1	91.16484058	151.2971308	454310.0774	4417839.363	30	770
1	2	3.1	0.2	0.2	84.3	365.2803729	167.7150304	453845.1936	4418571.673	18	589
1	2	2.48	0.37	3.97	94.9	47.58354654	428.2450306	455391.0849	4423909.803	33	430
1	1	2	0.3	0.52	67.2	799.9820594	656.0671264	457756.3091	4412144.063	27	470
1	2	2.37	0.35	1.9	66.6	499.708936	688.678342	443697.3497	4432967.616	21	465
4	2	1.33	0.35	0.63	295	1250.004063	593.3411576	442680.0129	4403797.913	27	3300
4	2	2.2	0.31	2.4	295	460.2397141	132.9092886	431536.9705	4401534.784	27	3300
2	2	2.8	0.38	2.8	203.5	733.3389405	644.2585065	453051.1998	4416163.203	26	2030
1	2	2.29	0.46	2.15	99.5	2776.81264	987.7440262	423595.915	4420445.511	29	849
3	2	3	0.3	0.5	251	1954.798967	450.7872832	426147.0859	4398430.336	31	2050
4	1	1.4	0.2	1.1	295	1037.092307	391.035734	430263.4549	4418609.906	27	3300
4	2	1.9	0.3	2.6	295	833.9768304	946.7147345	435336.285	4413110.382	27	3300
4	2	2	0.35	1.2	295	509.6894901	1021.7929	454666.066	4420251.954	27	3300
4	2	3.2	0.1	0.8	295	738.0471703	249.0667229	455356.7599	4418456.372	27	3300
2	1	1.75	0.32	0.5	203.5	351.5432356	429.6879321	447281.4513	4410938.984	26	2030
1	1	2.82	0.34	2.56	147.8	143.4819122	158.9432468	439902.785	4421141.651	26	1150
1	2	4.2	0.3	15.98	55.2	1544.097132	118.462219	442586.6406	4421931.797	17	410
1	1	1.2	0.3	0.8	69.3	1140.452181	155.789	442483.0199	4432860.958	21	476
1	2	2.6	0.3	1.99	103.1	975.770624	362.8861882	442323.9002	4432133.673	29	868
1	2	3.1	0.3	1.2	95.1	765.8072637	27.0278105	442880.1513	4432020.342	19	630
1	2	2.5	0.31	1.9	52.2	1085.923699	705.6796652	442131.8847	4433525.299	28	520
1	2	1.33	0.4	2.45	39	500.3000648	140.283721	451645.8082	4423113.206	28	385
4	2	1.5	0.32	2.4	422.5	389.8742998	90.43484061	445922.6021	4429416.002	38	1550
4	2	1.5	0.45	3.5	559.4	715.7242435	985.9330945	446484.372	4428670.593	28	1800
1	1	1.2	0.4	0.5	73.9	369.2576808	611.2868488	448237.5009	4424942.997	6	630
1	2	0.9	0.3	2.5	56.7	248.7264274	521.4828872	447880.6796	4424606.553	9	485
2	2	3	0.3	2.5	139.7	388.9646579	118.4930768	449075.4341	4424969.324	26	1370
1	2	2.2	0.3	0.58	56.8	244.7823523	228.2594717	448491.4646	4423787.83	9	498
1	2	2.5	0.2	0.9	64	297.6539528	254.4128898	449536.6895	4424494.687	1	560
1	1	2.1	0.35	0.58	42.8	405.8272959	99.28444519	447974.743	4424114.843	7	360
1	2	2.8	0.2	0.6	54.2	310.6461536	554.8108016	448561.9861	4424398.04	6	455
1	2	1.2	0.2	2.5	69.6	430.9334259	856.299492	447951.0098	4424952.23	6	850
1	2	2.2	0.3	0.58	58.2	372.749108	153.0299106	448802.3067	4423717.965	11	550
3	1	1	0.45	2.8	353.8	593.191771	461.6727702	445996.7184	4429958.671	28	1200
1	2	2.8	0.2	0.6	48.9	222.7990428	444.9395432	448476.2314	4424628.92	7	400
1	2	1.6	0.21	2.3	52.1	481.7314194	752.9457768	447683.2652	4424899.23	13	410
1	1	0.9	0.3	1.25	70.9	65.51811058	517.0494836	448184.975	4424585.634	18	650
2	2	2.1	0.3	2.5	138.5	86.00233189	221.0075895	449316.1445	4424461.486	20	1298
1	1	2.8	0.2	0.6	69.5	522.8897924	292.2423352	448576.5226	4424990.516	13	588
6	2	3.33	0.33	2.5	473	313.3284665	675.5127814	455645.8907	4416650.472	34	2280
1	1	1.9	0.3	2.5	147	54.64612735	684.7100349	445275.0563	4429587.093	27	1125
3	3	1.98	0.4	7	214.2	157.0870493	902.6154234	448816.8608	4431861.838	29	1450
6	2	2.5	0.35	10	665.3	510.3541782	506.3846157	449153.4852	4432228.367	35	5700
1	1	2.5	0.3	1.98	70.9	123.2198252	347.2691128	445641.5661	4429650.204	26	590
2	2	1.6	0.35	1.8	148	333.2307494	155.9898727	445883.2563	4429638.437	25	1398
1	1	1.2	0.32	0.9	65	415.9189382	331.5613456	445353.8767	4429130.751	21	445
2	3	2	0.34	2.5	119.1	603.8837881	336.1067806	446023.0863	4429172.061	27	910
2	2	1.5	0.45	3.5	197.2	635.4812643	683.4830324	441528.5582	4431595.678	29	2766
1	2	2.14	0.36	1.2	93.8	267.644167	723.037377	448655.6383	4431772.912	23	599
1	1	2.5	0.34	1.68	104.8	258.4964275	328.3744483	445675.341	4429328.028	23	850
2	2	2.13	0.31	2.98	109.6	121.4806654	578.6744417	445408.9429	4429693.097	28	1050
2	2	2.5	0.36	3.5	140.2	621.8380139	589.3603262	445722.5272	4428960.113	29	1320
1	1	1.2	0.3	0.7	82.1	415.3202315	294.4916938	445228.5658	4429159.745	11	550
2	2	2.5	0.34	0.68	134.4	483.2525904	328.9674558	445864.8162	4429184.746	24	1188
1	1	2	0.3	0.69	57	618.3225034	349.5331881	446032.0353	4429160.293	21	448
3	2	0.5	0.5	1.9	380.3	2883.044741	801.737716	429955.1777	4422772.519	40	1750
2	2	1.1	0.3	7.9	146	1313.645352	801.9400098	428851.7049	4421644.511	29	905
1	2	4	0.33	1.9	101.1	625.5706438	506.8347887	434503.4376	4416681.678	29	706
6	2	2.58	0.31	1.34	630	1833.545267	522.1844694	431864.917	4421597.855	35	6100
3	2	2.7	0.31	0.62	303	2129.382158	834.5468965	430844.902	4422015.195	29	1050
5	2	0.42	0.52	4.3	331	7385.787696	653.3507067	447974.4674	4446012.237	31	1050
2	2	1.4	0.3	3.68	186.6	10037.16448	1031.030044	471890.1359	4451750.964	36	600
1	1	1.33	0.3	1.1	86.7	814.5163056	447.7770521	434913.0469	4417772.931	24	533
3	2	1.36	0.65	2.98	219.6	332.4069678	189.2493258	454138.6522	4412950.381	27	1849
4	2	1.6	0.3	3.1	260	6885.206664	719.9752835	470078.2459	4448316.887	40	680
3	2	2.8	0.31	2.26	260	1299.449395	679.8999042	426268.0817	4416839.536	26	780
3	2	2.2	0.3	7.68	191	1104.578827	653.2206411	426530.929	4416675.204	24	660
3	2	3	0.3	0.5	389.6	931.5124755	504.6716944	431277.1987	4417881.217	34	1699
2	2	1.3	0.2	0.5	100	1215.180679	206.5220173	430848.7475	4417957.159	40	600
2	2	3	0.3	1.2	140.6	676.4402101	90.89244082	432143.0628	4417435.387	42	1050
1	2	2.58	0.31	1.34	88.1	1683.964065	747.4975711	431358.7911	4421580.078	27	455
1	1	2.7	0.35	2.16	92.9	634.0241035	452.9891277	431475.792	4420456.667	31	620
4	1	3	0.35	0.63	308.1	1401.79528	140.997467	431329.8924	4418527.664	15	1630
4	1	1.3	0.3	0.5	308.1	1515.687351	387.0749079	430817.753	4418439.431	15	1630
3	2	1.33	0.3	0.56	268.6	1218.063177	284.9987466	431410.138	4418727.247	40	869
